,address,company,company_link,educational,experience,info_link,name,publish_time,salary,work_place,work_type
0,"[上海杨浦区鞍山路5号杨浦商城18楼                                        (邮编：200092)
                            ]",创业伞投资有限公司,https://jobs.51job.com/all/co4684344.html,大专,3-4年经验,https://jobs.51job.com/nanjing-xwq/102458422.html?s=01&t=0,数据开发工程师（python爬虫方向）,06-02,0.7-1.2万/月,上海-杨浦区,高级软件工程师
1,"[龙华区                                        (邮编：518131)
                            ]",深圳市新律技术服务有限公司,https://jobs.51job.com/all/co5001617.html,本科,2年经验,https://jobs.51job.com/qingdao-lsq/99329602.html?s=01&t=0,初级Python开发助理,06-02,3-4.5千/月,深圳-宝安区,软件工程师
2,"[高新技术产业开发区广盛路69号                                        (邮编：266100)
                            ]",中译语通科技（青岛）有限公司,https://jobs.51job.com/all/co4642910.html,本科,1年经验,https://jobs.51job.com/shenzhen-nsq/102988239.html?s=01&t=0,软件测试Python方向（市区班车）,06-02,6-8千/月,青岛-城阳区,软件工程师
3,"[合肥经开区 莲花路与石门路交口 莲花电子产业园D座205室                                        (邮编：230601)
                            ]",合肥市合趣网络科技有限公司,https://jobs.51job.com/all/co4656062.html,招1人,无工作经验,https://jobs.51job.com/zhengzhou-gxq/102949689.html?s=01&t=0,Python高级开发工程师,06-02,1.5-2万/月,合肥,其他
4,"[江宁区正方中路888号                                        (邮编：211153)
                            ]",中兴软创科技股份有限公司,https://jobs.51job.com/all/co283516.html,本科,3-4年经验,https://jobs.51job.com/beijing-hdq/102984698.html?s=01&t=0,Python工程师,06-02,0.8-1.5万/月,南京-江宁区,高级软件工程师
5,"[广州市天河区体育西路103号维多利广场写字楼A座                                        (邮编：510075)
                            ]",国电华研电力科技有限公司,https://jobs.51job.com/all/co2287711.html,本科,3-4年经验,https://jobs.51job.com/beijing-hdq/102975181.html?s=01&t=0,Python高级开发工程师,06-02,0.8-1.5万/月,广州-天河区,高级软件工程师
6,"[北京市海淀区西北旺东路10号院东区16号楼                                        (邮编：100094)
                            ]",软通动力信息技术（集团）有限公司,https://jobs.51job.com/all/co4965839.html,招1人,无工作经验,https://jobs.51job.com/shenzhen-lhq/102974645.html?s=01&t=0,Python高级开发工程师,06-02,1.5-2万/月,杭州,高级软件工程师
7,"[上海市长宁区长宁路1027号兆丰广场                                        (邮编：200050)
                            ]",新思科技（上海）Synopsys,https://jobs.51job.com/all/co142732.html,本科,3-4年经验,https://jobs.51job.com/shanghai-mhq/102970056.html?s=01&t=0,软件工程师 （Python/Web development）,06-02,20-40万/年,上海,高级软件工程师
8,"[上海市黄浦区云南北路                                        (邮编：200001)
                            ]",上海博为峰软件技术有限公司,https://jobs.51job.com/all/co3303374.html,招若干人,无工作经验,https://jobs.51job.com/shenyang-hnq/102967023.html?s=01&t=0,Python开发工程师,06-02,6-8千/月,杭州,软件工程师
9,"[青年路万景国际Ｂ栋1004                                        (邮编：430000)
                            ]",武汉魔高科技有限公司,https://jobs.51job.com/all/co4999176.html,本科,1年经验,https://jobs.51job.com/dalian/102964490.html?s=01&t=0,Python架构师  六险一金  双休,06-02,1.5-2万/月,武汉-江汉区,软件工程师
10,"[徐汇苑大厦 27F(徐 汇区中山南二路 1089 号)                                        (邮编：200030)
                            ]",上海掘东信息技术有限公司,https://jobs.51job.com/all/co4877566.html,本科,3-4年经验,https://jobs.51job.com/shanghai-bsq/102959980.html?s=01&t=0,Python软件开发工程师,06-02,1.5-2.5万/月,上海-徐汇区,高级软件工程师
11,"[深圳市南山区深圳湾生态园9栋A2―22层                                        (邮编：518055)
                            ]",高盈量化云科技（深圳）有限公司,https://jobs.51job.com/all/co4399683.html,大专,2年经验,https://jobs.51job.com/shanghai-pdxq/102957945.html?s=01&t=0,Python高级开发工程师,06-02,2-3万/月,深圳-南山区,高级软件工程师
12,"[深圳市南山区高新南六道航盛大厦14楼                                        (邮编：518000)
                            ]",深圳市新华云帆科技有限公司,https://jobs.51job.com/all/co3464916.html,本科,无工作经验,https://jobs.51job.com/hangzhou-bjq/102956672.html?s=01&t=0,Python后台开发工程师,06-02,1.5-2.5万/月,深圳,培训讲师
13,"[上海市静安区恒丰路329号隆宇国际商务大厦2楼                                        (邮编：200002)
                            ]",海风教育-K12 在线一对一,https://jobs.51job.com/all/co3003570.html,本科,1年经验,https://jobs.51job.com/shenzhen/102950003.html?s=01&t=0,Python开发工程师,06-02,1.5-3万/月,上海-普陀区,软件工程师
14,"[福田区车公庙海松大厦A座23A01a                                        (邮编：518000)
                            ]",深圳市前海图灵互联网金融服务有限公司,https://jobs.51job.com/all/co3799369.html,大专,3-4年经验,https://jobs.51job.com/shanghai-pdxq/102644752.html?s=01&t=0,Python技术工程师,06-02,1-1.5万/月,深圳-福田区,大数据开发/分析
